/l/users/speech_lab/_SpeechT5PretrainDataset/v2/data/ASC/ASC_train/
ARA NORM  0548.wav	92301
ARA NORM  1769.wav	94021
ARA NORM  0129.wav	185228
ARA NORM  0599.wav	338061
ARA NORM  0707.wav	82466
ARA NORM  1147.wav	72701
ARA NORM  1526.wav	112667
ARA NORM  0410.wav	169527
ARA NORM  0862.wav	93133
ARA NORM  1631.wav	117871
ARA NORM  1196.wav	79390
ARA NORM  0071.wav	76625
ARA NORM  0293.wav	323554
ARA NORM  0946.wav	81638
ARA NORM  0534.wav	136588
ARA NORM  1715.wav	109700
ARA NORM  0155.wav	201186
ARA NORM  0623.wav	134028
ARA NORM  0184.wav	86327
ARA NORM  1063.wav	139234
ARA NORM  1402.wav	73889
ARA NORM  1373.wav	74261
ARA NORM  0533.wav	102114
ARA NORM  0941.wav	127287
ARA NORM  0294.wav	89400
ARA NORM  0152.wav	129421
ARA NORM  1712.wav	107244
ARA NORM  1064.wav	112354
ARA NORM  0183.wav	59960
ARA NORM  0624.wav	171831
ARA NORM  0990.wav	218935
ARA NORM  0245.wav	108603
ARA NORM  1405.wav	84301
ARA NORM  0819.wav	74112
ARA NORM  1018.wav	85560
ARA NORM  0658.wav	91018
ARA NORM  1479.wav	102416
ARA NORM  1140.wav	72923
ARA NORM  0700.wav	174818
ARA NORM  0361.wav	204173
ARA NORM  1521.wav	107544
ARA NORM  1286.wav	76118
ARA NORM  1257.wav	83922
ARA NORM  0865.wav	91201
ARA NORM  0417.wav	234381
ARA NORM  0076.wav	313228
ARA NORM  1191.wav	79167
ARA NORM  1636.wav	120542
ARA NORM  0772.wav	79981
ARA NORM  1695.wav	101375
ARA NORM  1132.wav	64603
ARA NORM  1553.wav	107025
ARA NORM  0313.wav	305466
ARA NORM  0817.wav	72998
ARA NORM  0465.wav	138807
ARA NORM  1225.wav	72998
ARA NORM  1582.wav	101676
ARA NORM  1644.wav	111561
ARA NORM  0541.wav	104674
ARA NORM  0933.wav	51856
ARA NORM  1301.wav	77830
ARA NORM  1760.wav	101970
ARA NORM  0687.wav	47330
ARA NORM  0120.wav	90256
ARA NORM  0656.wav	281826
ARA NORM  1016.wav	141282
ARA NORM  1477.wav	108804
ARA NORM  1805.wav	96101
ARA NORM  0237.wav	120461
ARA NORM  0590.wav	100407
ARA NORM  1288.wav	67724
ARA NORM  0419.wav	127800
ARA NORM  1259.wav	82287
ARA NORM  1638.wav	108804
ARA NORM  0078.wav	87010
ARA NORM  1306.wav	69358
ARA NORM  0934.wav	60642
ARA NORM  0546.wav	303927
ARA NORM  1767.wav	101673
ARA NORM  1011.wav	269964
ARA NORM  0651.wav	261359
ARA NORM  0597.wav	281911
ARA NORM  1802.wav	104425
ARA NORM  1470.wav	109105
ARA NORM  1149.wav	78123
ARA NORM  0709.wav	75378
ARA NORM  0368.wav	196748
ARA NORM  1198.wav	79464
ARA NORM  0948.wav	99042
ARA NORM  0999.wav	113641
ARA NORM  1135.wav	75004
ARA NORM  1692.wav	109476
ARA NORM  0775.wav	81990
ARA NORM  0314.wav	159884
ARA NORM  1554.wav	109700
ARA NORM  1585.wav	105949
ARA NORM  1222.wav	79167
ARA NORM  0462.wav	117133
ARA NORM  0810.wav	72407
ARA NORM  0003.wav	105360
ARA NORM  1643.wav	113719
ARA NORM  0205.wav	51003
ARA NORM  1445.wav	87855
ARA NORM  1024.wav	103991
ARA NORM  1783.wav	107021
ARA NORM  0664.wav	150049
ARA NORM  0112.wav	239160
ARA NORM  1752.wav	109402
ARA NORM  1494.wav	109848
ARA NORM  1333.wav	78870
ARA NORM  0573.wav	27536
ARA NORM  0888.wav	92762
ARA NORM  0279.wav	208455
ARA NORM  1439.wav	100558
ARA NORM  1058.wav	29158
ARA NORM  1089.wav	113720
ARA NORM  0036.wav	66100
ARA NORM  1676.wav	111556
ARA NORM  0457.wav	111927
ARA NORM  0825.wav	69433
ARA NORM  0486.wav	91381
ARA NORM  0321.wav	96055
ARA NORM  1561.wav	107690
ARA NORM  1100.wav	74929
ARA NORM  0740.wav	77161
ARA NORM  1399.wav	69284
ARA NORM  1729.wav	104050
ARA NORM  0169.wav	197691
ARA NORM  0508.wav	152546
ARA NORM  1348.wav	76712
ARA NORM  1671.wav	109176
ARA NORM  0796.wav	74190
ARA NORM  0031.wav	102962
ARA NORM  0822.wav	70546
ARA NORM  0450.wav	155618
ARA NORM  1210.wav	87186
ARA NORM  1566.wav	105387
ARA NORM  0326.wav	380813
ARA NORM  0481.wav	232934
ARA NORM  0747.wav	80950
ARA NORM  1107.wav	72701
ARA NORM  0202.wav	44091
ARA NORM  0663.wav	53901
ARA NORM  1784.wav	100187
ARA NORM  1023.wav	469563
ARA NORM  0115.wav	93751
ARA NORM  0574.wav	91451
ARA NORM  0906.wav	123536
ARA NORM  1334.wav	72329
ARA NORM  1493.wav	107693
ARA NORM  0270.wav	137104
ARA NORM  1430.wav	104425
ARA NORM  1397.wav	67575
ARA NORM  1051.wav	116023
ARA NORM  0611.wav	185830
ARA NORM  1080.wav	215465
ARA NORM  1727.wav	102419
ARA NORM  1346.wav	71586
ARA NORM  0506.wav	120218
ARA NORM  0974.wav	74466
ARA NORM  0798.wav	79390
ARA NORM  1568.wav	106278
ARA NORM  1109.wav	83179
ARA NORM  0749.wav	78496
ARA NORM  0908.wav	320230
ARA NORM  0043.wav	63291
ARA NORM  1603.wav	108864
ARA NORM  1262.wav	77232
ARA NORM  0850.wav	96477
ARA NORM  0422.wav	96827
ARA NORM  0385.wav	79842
ARA NORM  0881.wav	99816
ARA NORM  0354.wav	226871
ARA NORM  1514.wav	107690
ARA NORM  0092.wav	136588
